"","speaker_role","target_child_age","utterance_type","freq_total"
"185","Father",537.4375,"interruption",4
"186","Father",537.4375,"question",81
"187","Father",537.4375,"self interruption",1
"188","Father",537.4375,"trail off",12
"189","Father",538.4375,"declarative",52
"190","Father",538.4375,"question",33
"191","Father",539.4375,"declarative",19
"192","Father",539.4375,"question",15
"193","Father",540.4375,"declarative",3453
"194","Father",540.4375,"imperative_emphatic",44
"195","Father",540.4375,"interruption",22
"196","Father",540.4375,"question",1054
"197","Father",540.4375,"quotation next line",6
"198","Father",540.4375,"trail off",70
"199","Father",541.4375,"declarative",618
"200","Father",541.4375,"imperative_emphatic",5
"201","Father",541.4375,"question",102
"202","Father",541.4375,"trail off",5
"203","Father",542.4375,"declarative",13
"204","Father",542.4375,"question",7
"205","Father",543.4375,"declarative",122
"206","Father",543.4375,"question",19
"207","Father",545.4375,"declarative",1700
"208","Father",545.4375,"imperative_emphatic",20
"209","Father",545.4375,"question",483
"210","Father",545.4375,"trail off",157
"211","Father",547.4375,"declarative",15
"212","Father",547.4375,"question",15
"213","Father",547.875,"declarative",1753
"214","Father",547.875,"imperative_emphatic",33
"215","Father",547.875,"question",496
"216","Father",547.875,"trail off",147
"217","Father",548.875,"declarative",15
"218","Father",548.875,"question",2
"219","Father",549.875,"declarative",263
"220","Father",549.875,"question",63
"221","Father",549.875,"trail off",4
"222","Father",550.875,"declarative",74
"223","Father",550.875,"question",16
"224","Father",550.875,"trail off",3
"225","Father",551.875,"declarative",125
"226","Father",551.875,"question",52
"227","Father",551.875,"trail off",7
"228","Father",552.875,"declarative",47
"229","Father",552.875,"question",28
"230","Father",553.875,"declarative",8
"231","Father",554.875,"declarative",1789
"232","Father",554.875,"imperative_emphatic",25
"233","Father",554.875,"question",472
"234","Father",554.875,"trail off",2
"235","Father",555.875,"declarative",8
"236","Father",556.875,"declarative",1133
"237","Father",556.875,"imperative_emphatic",11
"238","Father",556.875,"interruption",38
"239","Father",556.875,"question",354
"240","Father",556.875,"quotation next line",9
"241","Father",556.875,"trail off",6
"242","Father",557.875,"declarative",7
"243","Father",557.875,"question",3
"244","Father",558.875,"declarative",14
"245","Father",559.875,"declarative",24
"246","Father",561.875,"declarative",2762
"247","Father",561.875,"imperative_emphatic",25
"248","Father",561.875,"interruption",4
"249","Father",561.875,"question",717
"250","Father",561.875,"trail off",67
"251","Father",562.875,"declarative",127
"252","Father",562.875,"question",10
"253","Father",563.875,"declarative",814
"254","Father",563.875,"imperative_emphatic",14
"255","Father",563.875,"question",439
"256","Father",563.875,"quotation next line",32
"257","Father",563.875,"trail off",19
"258","Father",566.875,"declarative",155
"259","Father",566.875,"interruption",5
"260","Father",566.875,"question",64
"261","Father",567.875,"declarative",389
"262","Father",567.875,"imperative_emphatic",30
"263","Father",567.875,"question",130
"264","Father",567.875,"self interruption",14
"265","Father",567.875,"trail off",30
"266","Father",568.875,"declarative",3258
"267","Father",568.875,"imperative_emphatic",63
"268","Father",568.875,"question",818
"269","Father",568.875,"trail off",45
"270","Father",569.875,"declarative",4
"271","Father",569.875,"question",3
"272","Father",573.875,"declarative",1842
"273","Father",573.875,"imperative_emphatic",34
"274","Father",573.875,"question",495
"275","Father",573.875,"trail off",33
"276","Father",574.875,"declarative",1503
"277","Father",574.875,"imperative_emphatic",33
"278","Father",574.875,"question",440
"279","Father",574.875,"trail off",28
"280","Father",575.875,"declarative",17
"281","Father",575.875,"question",4
"282","Father",576.875,"declarative",14
"283","Father",578.3125,"declarative",1379
"284","Father",578.3125,"imperative_emphatic",30
"285","Father",578.3125,"interruption",8
"286","Father",578.3125,"missing CA terminator",1271
"287","Father",578.3125,"question",1005
"288","Father",578.3125,"trail off",14
"289","Father",580.3125,"declarative",5
"290","Father",583.3125,"declarative",122
"291","Father",583.3125,"interruption",5
"292","Father",583.3125,"question",111
"293","Father",585.3125,"declarative",82
"294","Father",585.3125,"question",35
"295","Father",586.3125,"declarative",1718
"296","Father",586.3125,"imperative_emphatic",209
"297","Father",586.3125,"interruption",3
"298","Father",586.3125,"question",958
"299","Father",586.3125,"self interruption",98
"300","Father",586.3125,"trail off",49
"301","Father",588.3125,"declarative",96
"302","Father",588.3125,"imperative_emphatic",4
"303","Father",588.3125,"question",20
"304","Father",588.3125,"trail off",14
"305","Father",589.3125,"declarative",4
"306","Father",590.3125,"declarative",9
"307","Father",591.3125,"declarative",2
"308","Father",595.3125,"declarative",126
"309","Father",595.3125,"question",56
"310","Father",597.3125,"declarative",230
"311","Father",597.3125,"question",58
"312","Father",598.3125,"declarative",55
"313","Father",599.3125,"declarative",105
"314","Father",599.3125,"imperative_emphatic",1
"315","Father",599.3125,"interruption",5
"316","Father",599.3125,"question",41
"317","Father",600.3125,"declarative",91
"318","Father",600.3125,"imperative_emphatic",13
"319","Father",600.3125,"interruption",22
"320","Father",600.3125,"question",3
"321","Father",600.3125,"self interruption",28
"322","Father",600.3125,"trail off",12
"323","Father",601.3125,"declarative",226
"324","Father",601.3125,"imperative_emphatic",1
"325","Father",601.3125,"question",118
"326","Father",601.3125,"trail off",31
"327","Father",603.3125,"declarative",154
"328","Father",603.3125,"question",33
"329","Father",604.3125,"declarative",52
"330","Father",604.3125,"question",59
"331","Father",608.75,"declarative",1
"332","Father",610.75,"declarative",1129
"333","Father",610.75,"question",238
"334","Father",610.75,"quotation next line",3
"335","Father",610.75,"trail off",88
"336","Father",611.75,"declarative",496
"337","Father",611.75,"interruption",2
"338","Father",611.75,"question",235
"339","Father",611.75,"self interruption",2
"340","Father",611.75,"trail off",14
"341","Father",613.75,"declarative",80
"342","Father",613.75,"question",46
"343","Father",614.75,"declarative",445
"344","Father",614.75,"imperative_emphatic",2
"345","Father",614.75,"question",167
"346","Father",614.75,"quotation next line",75
"347","Father",614.75,"trail off",3
"348","Father",618.75,"declarative",657
"349","Father",618.75,"imperative_emphatic",48
"350","Father",618.75,"question",271
"351","Father",618.75,"trail off",11
"352","Father",619.75,"declarative",15
"353","Father",619.75,"question",9
"354","Father",624.75,"declarative",759
"355","Father",624.75,"imperative_emphatic",31
"356","Father",624.75,"question",321
"357","Father",624.75,"trail off",53
"358","Father",625.75,"declarative",117
"359","Father",625.75,"imperative_emphatic",12
"360","Father",625.75,"question",45
"361","Father",627.75,"declarative",74
"362","Father",627.75,"question",10
"363","Father",628.75,"declarative",62
"364","Father",628.75,"question",10
"365","Father",630.75,"declarative",2300
"366","Father",630.75,"imperative_emphatic",22
"367","Father",630.75,"question",617
"368","Father",630.75,"trail off",63
"369","Father",631.75,"declarative",52
"370","Father",631.75,"question",12
"371","Father",632.75,"declarative",63
"372","Father",632.75,"question",23
"373","Father",633.75,"declarative",39
"374","Father",633.75,"question",8
"375","Father",634.75,"declarative",29
"376","Father",634.75,"question",10
"377","Father",637.75,"declarative",68
"378","Father",637.75,"question",63
"379","Father",637.75,"trail off",7
"380","Father",638.75,"declarative",55
"381","Father",638.75,"question",16
"382","Father",638.75,"trail off",2
"383","Father",639.1875,"declarative",893
"384","Father",639.1875,"imperative_emphatic",8
"385","Father",639.1875,"missing CA terminator",733
"386","Father",639.1875,"question",697
"387","Father",639.1875,"trail off",23
"388","Father",640.1875,"declarative",1309
"389","Father",640.1875,"imperative_emphatic",8
"390","Father",640.1875,"question",375
"391","Father",640.1875,"trail off",128
"392","Father",641.1875,"declarative",122
"393","Father",641.1875,"question",22
"394","Father",642.1875,"declarative",1
"395","Father",642.1875,"question",13
"396","Father",643.1875,"declarative",139
"397","Father",643.1875,"question",79
"398","Father",644.1875,"declarative",40
"399","Father",644.1875,"question",4
"400","Father",645.1875,"declarative",71
"401","Father",645.1875,"question",31
"402","Father",646.1875,"declarative",100
"403","Father",646.1875,"imperative_emphatic",8
"404","Father",646.1875,"question",35
"405","Father",646.1875,"self interruption",2
"406","Father",646.1875,"trail off",1
"407","Father",648.1875,"declarative",2280
"408","Father",648.1875,"imperative_emphatic",39
"409","Father",648.1875,"question",617
"410","Father",648.1875,"trail off",197
"411","Father",649.1875,"declarative",256
"412","Father",649.1875,"imperative_emphatic",4
"413","Father",649.1875,"interruption",66
"414","Father",649.1875,"interruption question",5
"415","Father",649.1875,"question",79
"416","Father",649.1875,"self interruption",18
"417","Father",649.1875,"self interruption question",4
"418","Father",649.1875,"trail off",30
"419","Father",649.1875,"trail off question",3
"420","Father",650.1875,"question",6
"421","Father",651.1875,"declarative",77
"422","Father",651.1875,"imperative_emphatic",2
"423","Father",651.1875,"interruption",1
"424","Father",651.1875,"question",43
"425","Father",651.1875,"self interruption",3
"426","Father",651.1875,"trail off",19
"427","Father",652.1875,"declarative",94
"428","Father",652.1875,"question",45
"429","Father",655.1875,"declarative",1608
"430","Father",655.1875,"imperative_emphatic",63
"431","Father",655.1875,"question",544
"432","Father",655.1875,"trail off",132
"433","Father",658.1875,"declarative",6
"434","Father",658.1875,"question",3
"435","Father",660.1875,"declarative",779
"436","Father",660.1875,"interruption",15
"437","Father",660.1875,"question",173
"438","Father",660.1875,"self interruption",5
"439","Father",660.1875,"trail off",17
"440","Father",661.1875,"declarative",1814
"441","Father",661.1875,"imperative_emphatic",55
"442","Father",661.1875,"question",521
"443","Father",661.1875,"trail off",246
"444","Father",663.1875,"declarative",1
"445","Father",664.1875,"declarative",545
"446","Father",664.1875,"imperative_emphatic",12
"447","Father",664.1875,"interruption",1
"448","Father",664.1875,"question",112
"449","Father",664.1875,"trail off",47
"450","Father",666.1875,"declarative",55
"451","Father",666.1875,"imperative_emphatic",4
"452","Father",666.1875,"question",29
"453","Father",667.1875,"declarative",10
"454","Father",667.1875,"question",44
"455","Father",669.625,"declarative",1583
"456","Father",669.625,"imperative_emphatic",12
"457","Father",669.625,"missing CA terminator",1485
"458","Father",669.625,"question",510
"459","Father",669.625,"trail off",48
"460","Father",672.625,"declarative",150
"461","Father",672.625,"question",51
"462","Father",672.625,"quotation next line",1
"463","Father",674.625,"declarative",1840
"464","Father",674.625,"imperative_emphatic",36
"465","Father",674.625,"question",495
"466","Father",674.625,"trail off",36
"467","Father",675.625,"declarative",1376
"468","Father",675.625,"imperative_emphatic",20
"469","Father",675.625,"interruption",11
"470","Father",675.625,"question",429
"471","Father",675.625,"trail off",81
"472","Father",676.625,"declarative",545
"473","Father",676.625,"interruption",5
"474","Father",676.625,"question",371
"475","Father",676.625,"trail off",12
"476","Father",677.625,"declarative",83
"477","Father",677.625,"question",94
"478","Father",678.625,"declarative",1
"479","Father",679.625,"declarative",52
"480","Father",679.625,"question",71
"481","Father",680.625,"declarative",3038
"482","Father",680.625,"imperative_emphatic",42
"483","Father",680.625,"question",994
"484","Father",680.625,"trail off",102
"485","Father",681.625,"declarative",204
"486","Father",681.625,"imperative_emphatic",21
"487","Father",681.625,"interruption",15
"488","Father",681.625,"question",107
"489","Father",682.625,"declarative",23
"490","Father",682.625,"question",7
"491","Father",682.625,"trail off",7
"492","Father",683.625,"declarative",201
"493","Father",683.625,"question",41
"494","Father",683.625,"quotation next line",2
"495","Father",683.625,"trail off",2
"496","Father",684.625,"declarative",39
"497","Father",684.625,"question",7
"498","Father",685.625,"declarative",1759
"499","Father",685.625,"imperative_emphatic",29
"500","Father",685.625,"interruption",14
"501","Father",685.625,"question",450
"502","Father",685.625,"trail off",19
"503","Father",686.625,"declarative",181
"504","Father",686.625,"question",143
"505","Father",686.625,"quotation next line",8
"506","Father",687.625,"declarative",1807
"507","Father",687.625,"question",402
"508","Father",687.625,"trail off",1
"509","Father",688.625,"declarative",220
"510","Father",688.625,"imperative_emphatic",2
"511","Father",688.625,"question",131
"512","Father",689.625,"declarative",94
"513","Father",689.625,"question",92
"514","Father",690.625,"declarative",32
"515","Father",690.625,"question",26
"516","Father",690.625,"trail off",8
"517","Father",691.625,"declarative",367
"518","Father",691.625,"imperative_emphatic",7
"519","Father",691.625,"question",212
"520","Father",691.625,"self interruption",12
"521","Father",691.625,"self interruption question",8
"522","Father",691.625,"trail off",40
"523","Father",692.625,"declarative",188
"524","Father",692.625,"question",81
"525","Father",692.625,"quotation next line",6
"526","Father",692.625,"trail off",1
"527","Father",693.625,"declarative",133
"528","Father",693.625,"question",30
"529","Father",694.625,"question",5
"530","Father",695.625,"declarative",2731
"531","Father",695.625,"imperative_emphatic",18
"532","Father",695.625,"question",547
"533","Father",695.625,"trail off",173
"534","Father",696.625,"declarative",171
"535","Father",696.625,"imperative_emphatic",2
"536","Father",696.625,"interruption",1
"537","Father",696.625,"question",20
"538","Father",697.625,"declarative",296
"539","Father",697.625,"question",105
"540","Father",697.625,"quotation next line",3
"541","Father",700.0625,"declarative",2423
"542","Father",700.0625,"imperative_emphatic",90
"543","Father",700.0625,"missing CA terminator",720
"544","Father",700.0625,"question",1135
"545","Father",702.0625,"declarative",256
"546","Father",702.0625,"question",142
"547","Father",702.0625,"quotation next line",12
"548","Father",703.0625,"declarative",547
"549","Father",703.0625,"interruption",8
"550","Father",703.0625,"question",263
"551","Father",703.0625,"quotation next line",2
"552","Father",703.0625,"self interruption",4
"553","Father",703.0625,"trail off",19
"554","Father",706.0625,"declarative",2361
"555","Father",706.0625,"imperative_emphatic",81
"556","Father",706.0625,"question",556
"557","Father",706.0625,"trail off",85
"558","Father",708.0625,"declarative",14
"559","Father",709.0625,"declarative",1013
"560","Father",709.0625,"imperative_emphatic",3
"561","Father",709.0625,"interruption",12
"562","Father",709.0625,"question",634
"563","Father",709.0625,"trail off",25
"564","Father",711.0625,"declarative",292
"565","Father",711.0625,"question",84
"566","Father",712.0625,"declarative",904
"567","Father",712.0625,"imperative_emphatic",16
"568","Father",712.0625,"question",268
"569","Father",712.0625,"trail off",23
"570","Father",713.0625,"declarative",81
"571","Father",713.0625,"interruption",2
"572","Father",713.0625,"question",10
"573","Father",714.0625,"declarative",1137
"574","Father",714.0625,"imperative_emphatic",24
"575","Father",714.0625,"question",305
"576","Father",714.0625,"trail off",15
"577","Father",715.0625,"declarative",798
"578","Father",715.0625,"imperative_emphatic",59
"579","Father",715.0625,"interruption",2
"580","Father",715.0625,"question",177
"581","Father",715.0625,"self interruption",5
"582","Father",715.0625,"trail off",21
"583","Father",716.0625,"declarative",187
"584","Father",716.0625,"imperative_emphatic",5
"585","Father",716.0625,"question",107
"586","Father",716.0625,"quotation next line",4
"587","Father",717.0625,"declarative",135
"588","Father",717.0625,"question",84
"589","Father",717.0625,"trail off",6
"590","Father",718.0625,"declarative",122
"591","Father",718.0625,"question",33
"592","Father",718.0625,"quotation next line",8
"593","Father",719.0625,"declarative",1730
"594","Father",719.0625,"imperative_emphatic",57
"595","Father",719.0625,"question",411
"596","Father",719.0625,"trail off",162
"597","Father",720.0625,"declarative",633
"598","Father",720.0625,"imperative_emphatic",12
"599","Father",720.0625,"question",161
"600","Father",720.0625,"trail off",22
"601","Father",721.0625,"declarative",6
"602","Father",722.0625,"declarative",250
"603","Father",722.0625,"question",17
"604","Father",723.0625,"declarative",350
"605","Father",723.0625,"question",176
"606","Father",724.0625,"declarative",66
"607","Father",724.0625,"question",28
"608","Father",725.0625,"declarative",1552
"609","Father",725.0625,"imperative_emphatic",40
"610","Father",725.0625,"question",402
"611","Father",725.0625,"trail off",86
"612","Father",726.0625,"declarative",1071
"613","Father",726.0625,"imperative_emphatic",3
"614","Father",726.0625,"interruption",23
"615","Father",726.0625,"question",798
"616","Father",726.0625,"trail off",30
"617","Father",728.0625,"declarative",616
"618","Father",728.0625,"interruption",34
"619","Father",728.0625,"question",258
"620","Father",728.0625,"trail off",24
"621","Father",729.0625,"declarative",183
"622","Father",729.0625,"question",34
"623","Father",730.0625,"declarative",348
"624","Father",730.0625,"imperative_emphatic",1
"625","Father",730.0625,"interruption",2
"626","Father",730.0625,"question",93
"627","Father",730.0625,"quotation next line",3
"628","Father",730.5,"declarative",2401
"629","Father",730.5,"imperative_emphatic",188
"630","Father",730.5,"missing CA terminator",1963
"631","Father",730.5,"question",1121
"632","Father",730.5,"trail off",231
"633","Father",731.5,"declarative",182
"634","Father",731.5,"question",111
"635","Father",731.5,"trail off",6
"636","Father",732.5,"declarative",940
"637","Father",732.5,"interruption",14
"638","Father",732.5,"question",316
"639","Father",732.5,"self interruption",6
"640","Father",732.5,"trail off",116
"641","Father",733.5,"declarative",1823
"642","Father",733.5,"interruption",35
"643","Father",733.5,"question",536
"644","Father",733.5,"self interruption",1
"645","Father",733.5,"trail off",58
"646","Father",734.5,"declarative",211
"647","Father",734.5,"question",49
"648","Father",734.5,"trail off",15
"649","Father",735.5,"declarative",955
"650","Father",735.5,"interruption",7
"651","Father",735.5,"question",302
"652","Father",735.5,"trail off",50
"653","Father",736.5,"declarative",1300
"654","Father",736.5,"imperative_emphatic",4
"655","Father",736.5,"interruption",5
"656","Father",736.5,"question",367
"657","Father",736.5,"trail off",96
"658","Father",737.5,"declarative",308
"659","Father",737.5,"interruption",6
"660","Father",737.5,"question",93
"661","Father",737.5,"trail off",6
"662","Father",738.5,"declarative",1221
"663","Father",738.5,"imperative_emphatic",26
"664","Father",738.5,"interruption",16
"665","Father",738.5,"interruption question",3
"666","Father",738.5,"question",690
"667","Father",738.5,"quotation next line",2
"668","Father",738.5,"trail off",46
"669","Father",739.5,"declarative",1688
"670","Father",739.5,"imperative_emphatic",30
"671","Father",739.5,"question",341
"672","Father",739.5,"trail off",100
"673","Father",740.5,"declarative",833
"674","Father",740.5,"interruption",4
"675","Father",740.5,"question",249
"676","Father",740.5,"self interruption",2
"677","Father",740.5,"trail off",37
"678","Father",741.5,"declarative",1662
"679","Father",741.5,"interruption",14
"680","Father",741.5,"question",748
"681","Father",741.5,"trail off",102
"682","Father",742.5,"declarative",150
"683","Father",742.5,"question",7
"684","Father",742.5,"trail off",11
"685","Father",743.5,"declarative",753
"686","Father",743.5,"imperative_emphatic",12
"687","Father",743.5,"interruption",13
"688","Father",743.5,"question",260
"689","Father",743.5,"self interruption",14
"690","Father",743.5,"self interruption question",8
"691","Father",743.5,"trail off",38
"692","Father",744.5,"declarative",2
"693","Father",744.5,"question",7
"694","Father",745.5,"declarative",139
"695","Father",745.5,"imperative_emphatic",1
"696","Father",745.5,"question",44
"697","Father",746.5,"declarative",2046
"698","Father",746.5,"imperative_emphatic",50
"699","Father",746.5,"interruption",8
"700","Father",746.5,"question",545
"701","Father",746.5,"self interruption",3
"702","Father",746.5,"trail off",80
"703","Father",747.5,"declarative",1896
"704","Father",747.5,"imperative_emphatic",51
"705","Father",747.5,"interruption",7
"706","Father",747.5,"question",942
"707","Father",747.5,"quotation next line",2
"708","Father",747.5,"self interruption",20
"709","Father",747.5,"trail off",105
"710","Father",748.5,"declarative",271
"711","Father",748.5,"question",86
"712","Father",749.5,"declarative",62
"713","Father",749.5,"imperative_emphatic",3
"714","Father",749.5,"question",98
"715","Father",750.5,"declarative",7
"716","Father",750.5,"question",13
"717","Father",751.5,"declarative",79
"718","Father",751.5,"question",32
"719","Father",751.5,"trail off",2
"720","Father",752.5,"declarative",894
"721","Father",752.5,"imperative_emphatic",17
"722","Father",752.5,"interruption",9
"723","Father",752.5,"question",389
"724","Father",752.5,"trail off",98
"725","Father",753.5,"declarative",976
"726","Father",753.5,"imperative_emphatic",2
"727","Father",753.5,"interruption",7
"728","Father",753.5,"question",705
"729","Father",753.5,"trail off",25
"730","Father",754.5,"declarative",5182
"731","Father",754.5,"imperative_emphatic",120
"732","Father",754.5,"interruption",6
"733","Father",754.5,"interruption question",4
"734","Father",754.5,"question",1815
"735","Father",754.5,"quotation next line",3
"736","Father",754.5,"self interruption",36
"737","Father",754.5,"trail off",644
"738","Father",756.5,"declarative",1038
"739","Father",756.5,"imperative_emphatic",21
"740","Father",756.5,"interruption",5
"741","Father",756.5,"question",491
"742","Father",756.5,"self interruption",14
"743","Father",756.5,"trail off",59
"744","Father",757.5,"declarative",654
"745","Father",757.5,"imperative_emphatic",3
"746","Father",757.5,"question",808
"747","Father",757.5,"trail off",3
"748","Father",758.5,"declarative",1901
"749","Father",758.5,"imperative_emphatic",17
"750","Father",758.5,"interruption",6
"751","Father",758.5,"question",907
"752","Father",758.5,"self interruption",1
"753","Father",758.5,"self interruption question",4
"754","Father",758.5,"trail off",29
"755","Father",759.5,"declarative",603
"756","Father",759.5,"question",620
"757","Father",759.5,"trail off",4
"758","Father",760.5,"declarative",2273
"759","Father",760.5,"imperative_emphatic",25
"760","Father",760.5,"question",822
"761","Father",760.5,"trail off",151
"762","Father",760.9375,"declarative",1619
"763","Father",760.9375,"imperative_emphatic",117
"764","Father",760.9375,"interruption",5
"765","Father",760.9375,"missing CA terminator",2412
"766","Father",760.9375,"question",673
"767","Father",760.9375,"self interruption",5
"768","Father",760.9375,"trail off",137
"769","Father",760.9375,"trail off question",12
"770","Father",761.9375,"declarative",422
"771","Father",761.9375,"imperative_emphatic",7
"772","Father",761.9375,"question",462
"773","Father",761.9375,"trail off",1
"774","Father",762.9375,"declarative",139
"775","Father",762.9375,"question",8
"776","Father",763.9375,"declarative",1253
"777","Father",763.9375,"imperative_emphatic",40
"778","Father",763.9375,"question",286
"779","Father",763.9375,"trail off",135
"780","Father",765.9375,"declarative",693
"781","Father",765.9375,"imperative_emphatic",4
"782","Father",765.9375,"question",550
"783","Father",765.9375,"trail off",8
"784","Father",766.9375,"declarative",75
"785","Father",766.9375,"question",58
"786","Father",767.9375,"declarative",367
